run,model_as,phi,top_category,top_conf,det_conf,focal_site,pollinator,plant,Y,O_l,n,R,camera,det_category,recurrent,locally unique,possibly missing,phantom,model-elusive,weakly-supported,locally absent,possibly forbidden
B-degree,prior,0.94928627609237,model-elusive,0.4546566543447008,0.4546566543447008,Pine forest 2,Lasioglossum sp.,Globularia alypum,0,1,1,2,1,model-elusive,0.1335744774173171,0.029066731192112356,0.052921027732337755,0.011515982074182992,0.4546566543447008,0.0989364361520554,0.1801309492538465,0.03919774183344697
B-degree,prior,0.3578904384083452,possibly forbidden,0.5932232179173622,0.5932232179173622,Pine forest 2,Lydella nigrescens,Asphodelus fistulosus,0,0,0,1,NA,possibly forbidden,9.696968850658525e-4,0.001948458063190412,0.024329461371931836,0.048886343674292586,0.011767022512377162,0.023644037891724652,0.29523176168405524,0.5932232179173622
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Lydella nigrescens,Blackstonia perfoliata,0,0,0,0,0,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.9941855932902088,recurrent,0.5710940436407104,0.5710940436407104,Pine forest 2,Lydella nigrescens,Cistus monspeliensis,1,1,1,1,1,recurrent,0.5710940436407104,0.021200883963569155,0.11075936798956117,0.004111751006288295,0.23648721169017328,0.008779180924299128,0.04586490508189565,0.0017026557035028883
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Lydella nigrescens,Fumana ericoides,0,0,0,0,0,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
B-degree,prior,0.12932340757821326,possibly forbidden,0.7842564044216693,0.7842564044216693,Pine forest 2,Lydella nigrescens,Globularia alypum,0,0,0,2,0,possibly forbidden,1.6997753462875815e-4,0.0012914082170283126,0.011374784754131458,0.08642018800011737,0.0015425327487164067,0.01171942792956951,0.10322527639413888,0.7842564044216693
B-degree,prior,0.2713596077822862,possibly forbidden,0.6731661137462477,0.6731661137462477,Pine forest 2,Lydella thompsoni,Asphodelus fistulosus,0,0,0,0,NA,possibly forbidden,4.138713806087351e-4,0.0012058432871102115,0.0190399668552956,0.05547427847146613,0.0050222228490719315,0.014632598417454073,0.23104510499274564,0.6731661137462477
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Lydella thompsoni,Blackstonia perfoliata,0,0,0,0,NA,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.8816492900251609,recurrent,0.2952510699608133,0.2112455077775224,Pine forest 2,Lydella thompsoni,Cistus monspeliensis,1,1,0,0,NA,locally unique,0.2952510699608133,0.2112455077775224,0.1169758651765679,0.08369360368522545,0.12226200406233002,0.08747571730552,0.04843912574240723,0.03465710628961369
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Lydella thompsoni,Fumana ericoides,0,0,0,0,NA,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
B-degree,prior,0.0884275760133274,possibly forbidden,0.8210930646673538,0.8210930646673538,Pine forest 2,Lydella thompsoni,Globularia alypum,0,0,0,1,NA,possibly forbidden,6.670185384801619e-5,7.590147833500247e-4,0.007951282549389031,0.09047935931931884,6.053140739179346e-4,0.006887999420831786,0.07215726333199061,0.8210930646673538
B-degree,prior,0.4799871239562675,possibly forbidden,0.48042223654240407,0.48042223654240407,Pine forest 2,Macroglossum stellatarum,Asphodelus fistulosus,0,0,0,0,NA,possibly forbidden,0.0015356050669109817,0.0018325639496597843,0.033175151476581545,0.039590639501328365,0.01863417287478948,0.022237692605925074,0.40257193798240065,0.48042223654240407
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Macroglossum stellatarum,Blackstonia perfoliata,0,0,0,0,NA,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.980055442428692,recurrent,0.5214809783276125,0.08802180934911018,Pine forest 2,Macroglossum stellatarum,Cistus monspeliensis,1,1,0,0,NA,locally unique,0.5214809783276125,0.08802180934911018,0.08355914499451582,0.0141041139288905,0.21594268735141411,0.03644939479353244,0.03460142761250699,0.00584044364241743
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Macroglossum stellatarum,Fumana ericoides,0,0,0,0,NA,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
B-degree,prior,0.17319568036480304,possibly forbidden,0.7447387336712542,0.7447387336712542,Pine forest 2,Macroglossum stellatarum,Globularia alypum,0,0,0,1,NA,possibly forbidden,2.6654622909939244e-4,0.0014099442280286047,0.01551428208483519,0.08206558596394273,0.0024188860506223387,0.0127951329000499,0.1407908888721677,0.7447387336712542
B-degree,prior,0.4448159410478356,possibly forbidden,0.5129156980183269,0.5129156980183269,Pine forest 2,Meligethes sp.,Asphodelus fistulosus,0,0,0,1,NA,possibly forbidden,0.0015899395292502884,0.002237275400446426,0.030038384130946477,0.04226836093383749,0.019293507612676265,0.02714876206047925,0.3645080723140368,0.5129156980183269
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Meligethes sp.,Blackstonia perfoliata,0,0,0,0,0,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.9978449949812653,recurrent,0.6122226304831897,0.6122226304831897,Pine forest 2,Meligethes sp.,Cistus monspeliensis,1,1,1,1,1,recurrent,0.6122226304831897,0.011371301537118862,0.08204816820031849,0.001523946379502034,0.2535183555647086,0.004708799581690689,0.03397573961423907,6.310586392326366e-4
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Meligethes sp.,Fumana ericoides,0,0,0,0,0,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
B-degree,prior,0.1656207709489158,possibly forbidden,0.7515617851625084,0.7515617851625084,Pine forest 2,Meligethes sp.,Globularia alypum,0,0,0,2,0,possibly forbidden,2.8284186399406253e-4,0.0016103914032558776,0.014545681350080171,0.0828174438885758,0.00256676765474758,0.014614175239092348,0.13200091343774573,0.7515617851625084
B-degree,prior,0.48547990576175304,possibly forbidden,0.47534764196715584,0.47534764196715584,Pine forest 2,Meliscaeva auricollis,Asphodelus fistulosus,0,0,0,1,NA,possibly forbidden,0.0019532556581939513,0.002342311691259004,0.0326659403739366,0.039172452271091125,0.023702255474230424,0.028423350457784723,0.39639279210634837,0.47534764196715584
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Meliscaeva auricollis,Blackstonia perfoliata,0,0,0,0,NA,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.9986964554868563,recurrent,0.6271901806070337,0.6271901806070337,Pine forest 2,Meliscaeva auricollis,Cistus monspeliensis,1,1,1,1,NA,recurrent,0.6271901806070337,0.0081546217943079,0.07089942177886036,9.218224199271513e-4,0.2597163438540903,0.0033767884501646776,0.02935909900239942,3.8172209321659257e-4
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Meliscaeva auricollis,Fumana ericoides,0,0,0,0,NA,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
